sensors/logging_button,2015-03-29 06:24:28.351,START
sensors/brake,2015-03-29 06:24:29.143,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:29.143,4514.0
sensors/imu,2015-03-29 06:24:29.145,0.0,0.0,0.0,0.0,0.0,0.0,169.65,-6.34,-3.48
sensors/steering,2015-03-29 06:24:29.161,4514.0
sensors/imu,2015-03-29 06:24:29.162,0.0,0.0,0.0,0.0,0.0,0.0,169.65,-6.33,-3.46
sensors/brake,2015-03-29 06:24:29.177,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.179,0.0,0.0,0.0,0.0,0.0,0.0,169.67,-6.33,-3.46
sensors/steering,2015-03-29 06:24:29.194,4514.0
sensors/brake,2015-03-29 06:24:29.210,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.212,0.0,0.0,0.0,0.0,0.0,0.0,169.67,-6.34,-3.47
sensors/steering,2015-03-29 06:24:29.226,4514.0
sensors/imu,2015-03-29 06:24:29.228,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.34,-3.47
sensors/encoder,2015-03-29 06:24:29.239,0.0,0.0,0.0,0.0
sensors/brake,2015-03-29 06:24:29.243,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.245,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.34,-3.45
sensors/steering,2015-03-29 06:24:29.259,4514.0
sensors/brake,2015-03-29 06:24:29.275,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.277,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.33,-3.43
sensors/steering,2015-03-29 06:24:29.292,4514.0
sensors/imu,2015-03-29 06:24:29.294,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.33,-3.44
sensors/brake,2015-03-29 06:24:29.308,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.310,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.34,-3.43
sensors/steering,2015-03-29 06:24:29.324,4514.0
sensors/brake,2015-03-29 06:24:29.340,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:29.343,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:29.343,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.32,-3.42
sensors/steering,2015-03-29 06:24:29.356,4514.0
sensors/imu,2015-03-29 06:24:29.359,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.3,-3.4
sensors/brake,2015-03-29 06:24:29.373,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.376,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.3,-3.41
sensors/steering,2015-03-29 06:24:29.389,4514.0
sensors/brake,2015-03-29 06:24:29.389,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.416,0.0,0.0,0.0,0.0,0.0,0.0,169.7,-6.32,-3.43
sensors/imu,2015-03-29 06:24:29.416,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.31,-3.42
sensors/steering,2015-03-29 06:24:29.422,4514.0
sensors/brake,2015-03-29 06:24:29.422,'brakeV0.1',false

sensors/encoder,2015-03-29 06:24:29.432,0.0,0.0,0.0,0.0
sensors/imu,2015-03-29 06:24:29.432,0.0,0.0,0.0,0.0,0.0,0.0,169.7,-6.32,-3.42
sensors/steering,2015-03-29 06:24:29.454,4514.0
sensors/brake,2015-03-29 06:24:29.454,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:29.466,0.0,0.0,0.0,0.0,0.0,0.0,169.69,-6.32,-3.43
sensors/imu,2015-03-29 06:24:29.482,0.0,0.0,0.0,0.0,0.0,0.0,169.68,-6.3,-3.43
sensors/steering,2015-03-29 06:24:29.486,4514.0
sensors/brake,2015-03-29 06:24:29.486,'brakeV0.1',false

